time,itf_g,itf_t,itf_s,aghulas_box,aghulas_jet,amoc
2010-03-01,-5.951044545634449,0.6260996352213368,2.7256649882623245,-86.23659,-89.330315,10.768037
2010-04-01,-9.657078975411428,-5.465170345533124,4.565628422467264,-112.99363,-131.81805,13.195499
2010-05-01,-7.3262116121519485,-2.6244926500046186,3.947380561398472,-92.20323,-93.99285,16.50073
2010-06-01,4.260901693865329,7.79090942863993,2.26073257419136,-81.421265,-116.25553,18.458206
2010-07-01,7.1028772814676335,10.33439746185782,2.83881625625956,-89.15393,-111.89446,17.87717
2010-08-01,8.066534112840001,8.324609831270916,2.8408657903614905,-79.13198,-95.59563,17.119022
2010-09-01,13.269515340659307,11.24026256198289,3.5631166279277697,-101.10602,-121.22596,21.197472
2010-10-01,7.298933905592271,4.959815953298509,1.4194649685080063,-85.965904,-83.733795,19.817327
2010-11-01,6.41869180531593,3.4156346844108616,0.1175578122590216,-66.717964,-86.69163,15.440656
2010-12-01,9.006540159797979,7.198577673054356,0.2795792128450157,-54.978165,-80.89209,7.1468177
2011-01-01,14.114815725817692,13.72972945961188,-1.937619535296658,-85.68511,-112.0688,15.726152
2011-02-01,13.758236913348764,12.186494528841324,-0.7818889311047101,-92.65743,-91.88145,18.606459
2011-03-01,12.677055069914967,9.478883714220643,1.7237780632078432,-108.58337,-117.340515,13.164505
2011-04-01,9.78934080170938,3.3210420911119964,4.719204779494176,-86.40547,-97.55193,15.720636
2011-05-01,10.617915138589328,5.740268307693674,3.005143084659033,-82.74074,-98.32256,12.888551
2011-06-01,18.91549852200674,14.844686689625927,2.257013848557373,-79.596466,-87.79281,13.481917
2011-07-01,19.62272777685224,15.58553180515794,2.6267288543872542,-64.531746,-72.33537,15.909365
2011-08-01,16.49511985920049,11.683655295877834,4.30369028226295,-50.698143,-71.13923,17.763474
2011-09-01,18.04614631765829,12.318147549108224,4.523672604875843,-14.799936,-66.09623,16.174402
2011-10-01,8.832070888356792,4.525244127080546,2.9671874251405987,-47.467525,-76.20832,19.493979
2011-11-01,4.982255717184158,1.4759707791001784,2.1736641534375627,-96.56233,-114.676056,16.772009
2011-12-01,5.835669541230445,4.142168916717015,1.6164831044021932,-93.55363,-81.03963,17.68165
2012-01-01,8.339919232420675,9.847982084619732,-1.970134969887997,-87.144165,-90.74768,16.014324
2012-02-01,5.098894050363464,8.024004426482046,-1.6286445257567228,-70.40416,-89.83776,15.7786665
2012-03-01,3.521758253806152,5.495578619119783,0.5563633970041383,-72.19707,-90.79398,18.569609
2012-04-01,0.1305629809699023,-0.1925549981531698,3.920045927398475,-79.61212,-95.42138,13.487705
2012-05-01,2.07105453100753,2.851219775855804,2.453744625025232,-74.967445,-84.92404,12.408097
2012-06-01,12.497456428753422,12.693208825394404,3.3276202891877524,-72.15924,-89.99581,11.219232
2012-07-01,14.143280128910368,14.053798959719328,2.5292335797069603,-58.462337,-76.12752,16.415712
2012-08-01,11.186294861664548,10.445279403790476,3.336984237457104,-66.20701,-80.36427,16.227663
2012-09-01,13.581188387844476,10.809376101831727,4.724608529041548,-57.71314,-79.14905,13.939079
2012-10-01,4.656880239779737,2.6150720242662766,3.862890552058704,-63.218224,-86.224075,15.426925
2012-11-01,2.690633922458314,-0.9895679171226636,4.326833762091455,-75.04962,-93.10688,16.012676
2012-12-01,3.0942392425046785,0.7966189989744599,2.299655392134181,-97.12885,-91.94124,18.281937
2013-01-01,4.106306182680701,5.41536559165089,-0.4333186520918071,-102.784615,-117.22481,14.973392
2013-02-01,1.1220675922748256,2.892236784384899,-1.44961952615097,-79.53695,-85.14005,15.629463
2013-03-01,-0.6930655476820868,-0.0264948541832758,1.0660683975241894,-98.846375,-83.61419,6.0777125
2013-04-01,-4.373481199918727,-6.060412680348263,2.7733776738503324,-97.504135,-112.71207,13.820291
2013-05-01,-3.112198672562471,-2.5213372270749157,1.6732552054702945,-107.81338,-127.09651,15.31376
2013-06-01,7.000926373083789,8.299453509625376,2.138651769195651,-101.35975,-93.703766,16.893099
2013-07-01,10.436498844790655,10.960528785575846,1.99444916594194,-98.64115,-86.171104,17.713146
2013-08-01,8.99138415375025,8.846083981525101,3.886775872802248,-90.12913,-100.83683,18.16627
2013-09-01,12.672470084469182,11.020347926479824,4.826224526125598,-60.959488,-85.24544,16.873537
2013-10-01,5.9143426439732565,3.976770533253154,3.324445313307009,-95.756355,-78.639534,16.476955
2013-11-01,3.804967262592191,1.6922774010821655,2.223284005228795,-86.32651,-95.73008,19.128538
2013-12-01,6.358019245488324,4.313909189273046,2.516433179469748,-123.017685,-125.66225,16.755129
2014-01-01,9.329021728892716,9.060541495393627,-1.2502783949936431,-107.19369,-106.88721,17.63514
2014-02-01,6.365997271248926,6.3008501916096975,-0.5332578862274882,-110.33492,-114.349785,16.438972
2014-03-01,5.425026993811177,2.686634157888257,2.3763941609326684,-109.00451,-130.56538,13.565308
2014-04-01,2.1471765318778617,-3.8256233869534952,4.506099149893522,-106.56391,-86.650665,12.272948
2014-05-01,1.8774180592622915,-1.499910388026827,3.796561743621773,-107.38228,-104.55456,14.105897
2014-06-01,10.830442708766086,8.426589962506192,2.340222251907542,-77.714554,-57.88051,14.697399
2014-07-01,11.7059396633421,10.682774687781684,2.166732063089448,-89.46075,-70.39022,15.097731
2014-08-01,10.61456318858669,8.30193603893039,3.666848483785383,-57.26062,-63.606384,14.064772
2014-09-01,13.998108472748916,10.663003357097352,5.282410415027359,-95.34153,-98.68354,15.858141
2014-10-01,7.024237752957698,4.0806050160228144,5.00754974011396,-110.09233,-86.912506,16.871183
2014-11-01,5.081326817497256,2.2004264743106248,4.017661665024952,-89.6271,-98.94853,18.630642
2014-12-01,6.364871166497995,5.511442617765737,2.616375387345813,-70.5901,-65.99531,15.473151
